word;count
#díadeldesarrollo;1
donde;1
discuten;1
desafíos;1
respecto;1
agua,;1
naturales;1
energías;1
renovables;1
participación;1
banco;1
interamericano;1
(bid).;1
#somosubo;1
#hackathon;1
días.;1
@uagrooficial;1
ponencia;1
daremos;1
motivo;1
#semanadeingenieria.;1
#systop;1
#uagro;1
#ingenieria;1
#lidar;1
#topografia;1
¡los;1
esperamos!;1
pronto;1
potencia;1
uma;1
#maristas;1
#universidadmarista;1
unos;1
divierten,;1
otros;1
pasamos;1
estresandonos;1
trabajos;1
le;1
sacamos;1
jugo;1
torito;1
mecánico;1
#iq;1
